humidity,airflow,yield
low,low,52.97482133
low,low,36.06275068
low,low,32.60022941
low,low,36.33508112
low,low,44.6243347
low,low,47.45477924
low,low,34.15798735
low,low,35.39159138
low,low,33.70960295
low,low,51.02975187
low,high,61.38954665
low,high,49.2511618
low,high,52.79041139
low,high,46.88631077
low,high,46.80778369
low,high,42.88411081
low,high,59.43574068
low,high,40.75750777
low,high,64.9826374
low,high,56.24400282
high,low,63.63843099
high,low,43.62837623
high,low,64.03925084
high,low,60.24750968
high,low,56.60260502
high,low,54.10321806
high,low,64.46190313
high,low,66.42992883
high,low,66.12659839
high,low,66.32373306
high,high,63.68146993
high,high,71.31046624
high,high,65.46969448
high,high,70.03784464
high,high,71.52939777
high,high,80.56033115
high,high,66.7281624
high,high,68.70863387
high,high,71.2535878
high,high,69.99266789
