CustomerID,artist
10001,BandofHorses
10001,BlakeShelton
10001,ImagineDragons
10001,KatyPerry
10001,Pharrel
10002,BandofHorses
10002,Fun
10002,OneDirection
10003,ScreamingOrphans
10003,U2
10003,WalinJennys
10004,BandofHorses
10004,KatyPerry
10004,Lumineers
10004,OneDirection
10004,TheShins
10004,VampireWeekend
10005,BlakeShelton
10005,ColdPlay
10005,KatyPerry
10005,OneDirection
10005,RascalFlats
10005,U2
10005,VampireWeekend
10006,AlanThicke
10006,BandofHorses
10006,BlakeShelton
10006,ImagineDragons
10006,KatyPerry
10006,Lumineers
10006,OneDirection
10006,TheShins
10006,U2
10006,VampireWeekend
10007,OneDirection
10008,BandofHorses
10008,Lumineers
10008,SnowPatrol
10009,BandofHorses
10009,RascalFlats
10009,TaylorSwift
10009,VampireWeekend
10010,BandofHorses
10010,ScreamingOrphans
10010,VampireWeekend
10010,WalinJennys
10011,AlanThicke
10011,BandofHorses
10011,BlakeShelton
10011,Lumineers
10012,Fun
10012,ImagineDragons
10012,KatyPerry
10012,Lumineers
10012,OneDirection
10012,TheShins
10013,BandofHorses
10013,ColdPlay
10013,Lorde
10013,Pharrel
10013,U2
10013,VampireWeekend
10014,ColdPlay
10014,KatyPerry
10014,Pharrel
10014,U2
10015,ScreamingOrphans
10016,ImagineDragons
10016,RascalFlats
10016,TheShins
10016,U2
10016,VampireWeekend
10017,BandofHorses
10017,Lumineers
10017,RascalFlats
10017,VampireWeekend
10018,BandofHorses
10018,ColdPlay
10018,SnowPatrol
10018,TaylorSwift
10018,U2
10019,Lumineers
10020,KatyPerry
10020,ScreamingOrphans
10020,TheShins
10020,VampireWeekend
10020,WalinJennys
10021,ColdPlay
10021,Lumineers
10021,TheShins
10022,AlanThicke
10022,BandofHorses
10022,Pitbull
10022,TheShins
10023,AlanThicke
10023,BandofHorses
10023,BlakeShelton
10023,Lorde
10023,OneDirection
10023,Pharrel
10023,ScreamingOrphans
10023,U2
10023,VampireWeekend
10023,WalinJennys
10024,BandofHorses
10024,ColdPlay
10024,ImagineDragons
10024,Lumineers
10024,U2
10025,ImagineDragons
10025,U2
10026,BandofHorses
10026,Lumineers
10027,BandofHorses
10027,Lorde
10027,Lumineers
10027,U2
10028,Lumineers
10028,TheShins
10029,BandofHorses
10029,KatyPerry
10029,Lorde
10029,ScreamingOrphans
10029,SnowPatrol
10029,WalinJennys
10030,BandofHorses
10030,VampireWeekend
10031,KatyPerry
10031,TheShins
10031,VampireWeekend
10032,BandofHorses
10032,ColdPlay
10032,Fun
10032,KatyPerry
10032,TheShins
10032,VampireWeekend
10033,ColdPlay
10033,ImagineDragons
10033,OneDirection
10033,VampireWeekend
10034,ColdPlay
10034,TheShins
10034,VampireWeekend
10034,WalinJennys
10035,AlanThicke
10035,ColdPlay
10035,Fun
10035,ScreamingOrphans
10035,WalinJennys
10036,ColdPlay
10036,ImagineDragons
10036,WalinJennys
10037,AlanThicke
10037,ColdPlay
10037,Lumineers
10037,Pitbull
10037,U2
10038,BandofHorses
10038,KatyPerry
10038,Lumineers
10038,RascalFlats
10038,ScreamingOrphans
10039,AlanThicke
10039,TheShins
10039,VampireWeekend
10040,Pharrel
10040,TheShins
10040,U2
10040,VampireWeekend
10041,OneDirection
10042,AlanThicke
10042,KatyPerry
10042,Lumineers
10042,VampireWeekend
10042,WalinJennys
10043,BandofHorses
10043,KatyPerry
10043,Lumineers
10043,RascalFlats
10044,ImagineDragons
10044,Lorde
10044,RascalFlats
10044,TheShins
10046,RascalFlats
10047,Fun
10047,Lumineers
10047,ScreamingOrphans
10047,VampireWeekend
10047,WalinJennys
10048,ColdPlay
10048,ImagineDragons
10048,Lumineers
10048,Pitbull
10050,BandofHorses
10050,Lumineers
10050,RascalFlats
10050,SnowPatrol
10050,TaylorSwift
10050,U2
10051,SnowPatrol
10051,WalinJennys
10052,AlanThicke
10052,BandofHorses
10052,ColdPlay
10052,Fun
10052,KatyPerry
10052,Lumineers
10052,RascalFlats
10052,ScreamingOrphans
10052,TheShins
10052,U2
10052,VampireWeekend
10053,ColdPlay
10053,Lorde
10053,U2
10054,AlanThicke
10054,BlakeShelton
10054,TheShins
10054,VampireWeekend
10055,BandofHorses
10055,ColdPlay
10055,Fun
10055,Lumineers
10055,RascalFlats
10055,SnowPatrol
10055,TheShins
10056,BandofHorses
10056,Fun
10056,OneDirection
10056,TaylorSwift
10057,BandofHorses
10057,Pharrel
10058,BandofHorses
10058,BlakeShelton
10058,OneDirection
10058,SnowPatrol
10059,KatyPerry
10059,Pharrel
10059,SnowPatrol
10059,TheShins
10059,VampireWeekend
10060,VampireWeekend
10061,ColdPlay
10061,ScreamingOrphans
10061,TheShins
10061,U2
10061,VampireWeekend
10061,WalinJennys
10062,BandofHorses
