humidity,airflow,yield
low,low,39.4512619
low,low,48.12413983
low,low,39.1230015
low,low,46.02302587
low,low,26.99886846
low,low,45.04121334
low,low,33.01073658
low,low,38.5379684
low,low,32.72864
low,low,46.37984766
low,high,27.09758693
low,high,43.24181043
low,high,36.8313195
low,high,54.18612704
low,high,31.29404213
low,high,41.65864652
low,high,51.04674987
low,high,52.14502001
low,high,43.32776428
low,high,21.2793621
high,low,33.49189167
high,low,41.04662796
high,low,52.31408512
high,low,45.48340943
high,low,39.23196597
high,low,38.12836206
high,low,30.13202793
high,low,40.47138313
high,low,34.73796897
high,low,34.02532941
high,high,77.35381021
high,high,72.69436222
high,high,72.5506106
high,high,65.0435786
high,high,70.28445937
high,high,72.7257346
high,high,61.56393085
high,high,80.27308629
high,high,71.8515006
high,high,67.06885489
