id,packaging,duration
1,Brand1,31.10643684
2,Brand1,26.46784831
3,Brand1,25.58425816
4,Brand1,39.41232745
5,Brand1,28.40920464
6,Brand1,24.74204689
7,Brand1,32.96521029
8,Brand1,35.72956395
9,Brand1,32.75369651
10,Brand1,36.31511737
11,Brand1,31.72378677
12,Brand1,27.13621683
13,Brand1,29.42397869
14,Brand1,32.76424465
15,Brand1,25.64418411
16,Brand1,31.17102397
17,Brand1,33.28164434
18,Brand1,26.83758796
1,Brand2,30.91609519
2,Brand2,29.37655033
3,Brand2,34.94208617
4,Brand2,35.08714848
5,Brand2,32.41878892
6,Brand2,36.89554769
7,Brand2,33.41391506
8,Brand2,34.76503338
9,Brand2,30.68573837
10,Brand2,26.90530177
11,Brand2,25.48704428
12,Brand2,35.16557285
13,Brand2,29.39923486
14,Brand2,34.07988945
15,Brand2,35.31065909
16,Brand2,37.65460107
17,Brand2,30.27286894
18,Brand2,38.67219421
1,Brand3,32.54650087
2,Brand3,33.78238362
3,Brand3,30.1684284
4,Brand3,38.40477304
5,Brand3,38.47221995
6,Brand3,36.1328046
7,Brand3,34.16781494
8,Brand3,34.62433267
9,Brand3,21.61777295
10,Brand3,31.58841503
11,Brand3,37.95686094
12,Brand3,38.66018193
13,Brand3,27.57316312
14,Brand3,33.52257275
15,Brand3,28.45888812
16,Brand3,38.2750098
17,Brand3,35.71534426
18,Brand3,36.72979344
1,Brand4,18.94366609
2,Brand4,29.68935331
3,Brand4,29.02461499
4,Brand4,36.19044555
5,Brand4,32.86446261
6,Brand4,28.43271339
7,Brand4,33.40497025
8,Brand4,30.40217223
9,Brand4,25.79909344
10,Brand4,31.96516412
11,Brand4,26.91868855
12,Brand4,34.56849427
13,Brand4,36.6253578
14,Brand4,27.29072343
15,Brand4,21.77985659
16,Brand4,25.21966828
17,Brand4,22.15820534
18,Brand4,29.3646962
1,Brand5,39.98848543
2,Brand5,28.77035078
3,Brand5,34.18934622
4,Brand5,30.90741919
5,Brand5,36.67773296
6,Brand5,35.78892478
7,Brand5,38.91247179
8,Brand5,36.94991142
9,Brand5,37.12828061
10,Brand5,38.24216564
11,Brand5,34.83185675
12,Brand5,32.05876738
13,Brand5,32.73147818
14,Brand5,44.30816453
15,Brand5,37.33054484
16,Brand5,37.03760112
17,Brand5,34.38698136
18,Brand5,37.76465843
