humidity,airflow,yield
low,low,36.26904265
low,low,29.72158269
low,low,43.9637079
low,low,38.71298969
low,low,32.70103936
low,low,35.67636239
low,low,39.94057576
low,low,30.36682629
low,low,35.59569197
low,low,36.3580664
low,high,38.99090421
low,high,55.38457879
low,high,52.93413421
low,high,31.84412117
low,high,47.31032572
low,high,41.81057881
low,high,36.21417593
low,high,42.74794157
low,high,49.74834123
low,high,42.03592572
high,low,101.6397956
high,low,78.90259218
high,low,72.19950253
high,low,71.21857418
high,low,64.21734948
high,low,91.16740256
high,low,87.5351115
high,low,88.06662162
high,low,91.8945288
high,low,68.47989084
high,high,71.01594739
high,high,101.0955832
high,high,84.6152321
high,high,77.99823696
high,high,67.98990295
high,high,87.99215406
high,high,84.98133535
high,high,77.61828847
high,high,98.55592739
high,high,72.05885861
