product,sale,sales
shirt,yes,9629.952579
shirt,yes,9788.089776
shirt,yes,9747.127589
shirt,yes,9907.76793
shirt,yes,10112.57459
shirt,yes,9640.992874
shirt,yes,9696.180964
shirt,yes,9851.89965
shirt,yes,9672.778297
shirt,yes,9851.161735
shirt,yes,9658.938553
shirt,yes,9856.87833
shirt,yes,10005.17298
shirt,yes,9803.33939
shirt,yes,9789.46709
pants,yes,6168.956261
pants,yes,6089.204631
pants,yes,5993.956174
pants,yes,6022.737898
pants,yes,5910.532128
pants,yes,5687.864346
pants,yes,5665.801985
pants,yes,5982.359623
pants,yes,5570.298905
pants,yes,5568.374344
pants,yes,6054.361472
pants,yes,5687.131254
pants,yes,6370.00938
pants,yes,5562.911592
pants,yes,5734.886099
shirt,no,7913.06712
shirt,no,7705.256055
shirt,no,7663.437405
shirt,no,7574.897932
shirt,no,7763.512373
shirt,no,7716.664286
shirt,no,7815.954548
shirt,no,7576.732178
shirt,no,7381.371248
shirt,no,7730.455389
shirt,no,7849.994206
shirt,no,8186.758927
shirt,no,7670.979987
shirt,no,8119.070507
shirt,no,7725.49171
pants,no,6024.939677
pants,no,6036.426043
pants,no,5845.531216
pants,no,5549.78828
pants,no,5822.945278
pants,no,5614.376823
pants,no,5413.985712
pants,no,5553.856172
pants,no,6564.434938
pants,no,5842.405968
pants,no,5478.120531
pants,no,5518.552259
pants,no,5716.957361
pants,no,5425.617483
pants,no,5889.752235
