CustomerID,Product,Rating
7507182,A,93.61
1068732,A,85.19
6990809,A,74.76
8194250,A,82.04
3082751,A,93.08
5867259,A,84.4
5675769,A,88.82
7965139,A,71.8
1130469,A,88.71
1071204,A,82.55
8317156,A,88.86
9728092,A,85.03
3787817,A,87.42
2606492,A,81.45
3215304,A,88.18
6987177,A,88.82
2509928,A,88.22
7164014,A,87.16
8875712,A,86.13
8722073,A,88.02
5744729,A,88.77
9140805,A,88.36
2864673,A,82.64
8730794,A,92.19
6799685,A,84.83
1843711,A,90.93
1228778,A,89.09
7141772,A,92.58
1223932,A,83.51
4864329,A,83.33
4651254,A,83.9
7748045,A,88.74
2602578,A,76.52
9998713,A,92.94
6022715,A,86
1846075,A,88.15
9104730,A,89.72
1265874,A,84.46
6334932,A,84.74
8900579,A,93.1
5210205,A,92.12
4657945,A,81.16
8606017,A,94.42
7007656,A,83.64
6419964,A,77.45
5376109,A,86.59
8104543,A,94.01
9056464,A,89.69
3315555,A,99.72
6687219,A,83.82
8957664,B,89.44
2270153,B,82.4
3823701,B,92.63
5528992,B,82.13
7035369,B,88.51
7466352,B,91.37
4923157,B,86.61
1431531,B,93.86
7338224,B,88.31
8900676,B,85.72
1001826,B,93.51
3195975,B,92.41
8772190,B,85.5
6684723,B,85.94
5551134,B,90.23
7887165,B,86.27
2344953,B,97.35
8776516,B,80.95
2501271,B,84.96
9580774,B,89.43
7637311,B,90.18
9237710,B,92.02
5650039,B,95.96
1550582,B,97.06
6300899,B,94.68
2259496,B,93.08
1407658,B,78.01
3776805,B,91.29
2980982,B,79.72
9830596,B,83.2
4359387,B,85.66
8943814,B,91.46
1834754,B,98.7
1554624,B,79.97
4061278,B,83.39
6168579,B,86.57
9145535,B,77.21
6680544,B,89.47
8221199,B,83.42
7595832,B,85.92
5376464,B,90.72
4304405,B,94.04
7102509,B,83.79
8965653,B,90.98
2303026,B,88.73
7810974,B,82.98
5469481,B,91.89
6947951,B,93.74
3066373,B,83.54
3688035,B,93.54
