"rules","support","confidence","coverage","lift","count","oddsRatio","oddsRatio.LL","oddsRatio.UL","lhs","rhs"
"{Ammunition} => {BeefJerky}",0.0265957446808511,0.555555555555556,0.0478723404255319,4.97354497354497,5,12.1111111111111,3.15614054062227,46.4741701004099,"{Ammunition}","{BeefJerky}"
"{BeefJerky} => {Ammunition}",0.0265957446808511,0.238095238095238,0.111702127659574,4.97354497354497,5,12.1111111111111,3.15614054062227,46.4741701004099,"{BeefJerky}","{Ammunition}"
"{ToothPaste} => {Cookies}",0.0372340425531915,1,0.0372340425531915,1.62068965517241,7,9.93150684931507,0.558590215415556,176.578152599064,"{ToothPaste}","{Cookies}"
"{BeefJerky} => {Chips}",0.106382978723404,0.952380952380952,0.111702127659574,1.44393241167435,20,8.30462519936204,1.53713004549541,44.8672510852206,"{BeefJerky}","{Chips}"
"{Chips} => {BeefJerky}",0.106382978723404,0.161290322580645,0.659574468085106,1.44393241167435,20,8.30462519936204,1.53713004549541,44.8672510852206,"{Chips}","{BeefJerky}"
"{InkPen} => {Milk}",0.074468085106383,0.933333333333333,0.0797872340425532,1.55280235988201,14,7.23785594639866,1.31215933717308,39.923930895222,"{InkPen}","{Milk}"
"{Milk} => {InkPen}",0.074468085106383,0.123893805309735,0.601063829787234,1.55280235988201,14,7.23785594639866,1.31215933717308,39.923930895222,"{Milk}","{InkPen}"
"{InkPen} => {Chips}",0.074468085106383,0.933333333333333,0.0797872340425532,1.41505376344086,14,5.55505279034691,1.00558317656605,30.6872790065161,"{InkPen}","{Chips}"
"{Chips} => {InkPen}",0.074468085106383,0.112903225806452,0.659574468085106,1.41505376344086,14,5.55505279034691,1.00558317656605,30.6872790065161,"{Chips}","{InkPen}"
"{ToothPaste} => {Antacid}",0.0212765957446809,0.571428571428571,0.0372340425531915,2.62020905923345,4,4.95428571428571,1.17110657470546,20.9587645299905,"{ToothPaste}","{Antacid}"
"{ToothPaste} => {Candy}",0.0319148936170213,0.857142857142857,0.0372340425531915,1.77080062794349,6,4.89083820662768,0.809190957316352,29.5607583687536,"{ToothPaste}","{Candy}"
"{Ammunition} => {Soap}",0.0212765957446809,0.444444444444444,0.0478723404255319,2.78518518518519,4,4.73927958833619,1.27583448320381,17.6047687314562,"{Ammunition}","{Soap}"
"{Soap} => {Ammunition}",0.0212765957446809,0.133333333333333,0.159574468085106,2.78518518518519,4,4.73927958833619,1.27583448320381,17.6047687314562,"{Soap}","{Ammunition}"
"{ToothPaste} => {CatFood}",0.0265957446808511,0.714285714285714,0.0372340425531915,2.09821428571429,5,4.52941176470588,0.983976362233885,20.8496583065068,"{ToothPaste}","{CatFood}"
"{InkPen} => {LightBulb}",0.0212765957446809,0.266666666666667,0.0797872340425532,2.50666666666667,4,3.73517786561265,1.12271979226852,12.4265678612227,"{InkPen}","{LightBulb}"
"{LightBulb} => {InkPen}",0.0212765957446809,0.2,0.106382978723404,2.50666666666667,4,3.73517786561265,1.12271979226852,12.4265678612227,"{LightBulb}","{InkPen}"
"{InkPen} => {Cookies}",0.0691489361702128,0.866666666666667,0.0797872340425532,1.40459770114943,13,3.67826086956522,0.92258246342733,14.6649254250001,"{InkPen}","{Cookies}"
"{Cookies} => {InkPen}",0.0691489361702128,0.112068965517241,0.617021276595745,1.40459770114943,13,3.67826086956522,0.92258246342733,14.6649254250001,"{Cookies}","{InkPen}"
