Post ID,Account ID,Account username,Account name,Description,Duration (sec),Publish time,Permalink,Post type,Data comment,Date,Views,Reach,Likes,Shares,Profile visits,Replies,Sticker taps,Navigation,Link clicks
17948379702024729,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,WHO SAID WE CAN’T HAVE PIZZA PARTIES IN COLLEGE?🍕,0,11/03/2025 09:42,,IG story,,Lifetime,461,355,3,9,3.0,0,,403,
18086763418816038,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,4,12/02/2025 10:24,,IG story,,Lifetime,327,246,5,0,3.0,0,,203,
18145859299431056,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,15,11/23/2025 12:07,,IG story,,Lifetime,255,199,2,0,,0,,240,
18164141980381089,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,15,11/23/2025 12:06,,IG story,,Lifetime,280,218,3,2,,0,,244,
18017182985619017,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,0,11/21/2025 12:15,,IG story,,Lifetime,385,309,6,0,2.0,0,2.0,351,
17908742415123299,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,@atuagriculture_tourism,0,11/19/2025 11:57,,IG story,,Lifetime,301,240,1,0,2.0,0,,253,
18082531460284193,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,15,11/18/2025 14:57,,IG story,,Lifetime,339,261,2,0,1.0,0,,305,
18056370110300472,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,"Starting at 3 PM
in Rothwell 138!",0,11/18/2025 12:51,,IG story,,Lifetime,391,300,3,0,1.0,0,,367,
17869412157397987,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,"picking up auction items from amazing local businesses!  @wildflowercafear (yes, this cookie platter is ONE prize!)",20,11/18/2025 10:09,,IG story,,Lifetime,436,312,4,0,3.0,0,9.0,409,
17949148367917611,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,0,11/18/2025 07:49,,IG story,,Lifetime,410,308,4,0,2.0,0,,377,
18128281393496502,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,0,11/17/2025 10:09,,IG story,,Lifetime,871,588,4,0,1.0,0,,257,
18050628203673833,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,0,11/15/2025 09:14,,IG story,,Lifetime,1754,1240,5,0,2.0,0,,416,
18291645535273313,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,15,11/13/2025 19:13,,IG story,,Lifetime,192,158,4,0,,0,,172,
18085133155821211,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,15,11/13/2025 07:27,,IG story,,Lifetime,232,186,6,0,1.0,0,,197,
18076408759959189,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,Send this to someone who should enroll at @arkansastech 😏,0,11/12/2025 11:58,,IG story,,Lifetime,1592,1189,4,0,1.0,0,2.0,282,
18060278471548828,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,0,11/11/2025 17:56,,IG story,,Lifetime,332,262,3,0,2.0,0,3.0,288,
17846547678581907,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,it’s almost auction time!!,0,11/11/2025 10:54,,IG story,,Lifetime,303,233,4,1,,0,,269,
18059036918558037,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,0,11/11/2025 09:11,,IG story,,Lifetime,257,220,1,0,,0,,232,
18011741264634784,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,0,11/11/2025 07:36,,IG story,,Lifetime,269,233,1,0,1.0,0,,244,
18090419137728790,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,Green and Gold Giveback! @atucampuslife,15,11/08/2025 10:37,,IG story,,Lifetime,732,547,4,0,,0,,208,
18380947552195778,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,Our first gen alumni do great things! 🥹,20,11/07/2025 12:40,,IG story,,Lifetime,222,170,4,0,,0,8.0,204,2.0
18107211565718137,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,15,11/07/2025 10:59,,IG story,,Lifetime,228,178,2,0,2.0,0,,195,
18093189895868477,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,COME THROUGH FOR LUNCH AND CONNECTION 🍕,0,11/05/2025 09:59,,IG story,,Lifetime,223,191,2,0,,0,,201,
17999897477826784,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,0,11/04/2025 09:58,,IG story,,Lifetime,260,202,5,0,1.0,0,,232,
18093188059853620,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,0,11/03/2025 14:31,,IG story,,Lifetime,329,255,2,0,3.0,0,9.0,286,
17969349200978252,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,5,11/03/2025 12:15,,IG story,,Lifetime,403,281,1,0,,0,,299,
18046548584089935,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,@arkansastech @atucampuslife,0,11/01/2024 08:07,https://instagram.com/stories/atu_business/3491788690240520504,IG story,,Lifetime,975,873,7,0,1.0,0,,208,
18123658810411077,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,15,01/30/2025 10:29,,IG story,,Lifetime,171,163,2,0,7.0,0,,166,
18153600886355753,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,Meet your COBED SGA AMBASSADOR!,5,01/29/2025 10:06,,IG story,,Lifetime,213,203,1,0,4.0,0,,205,
17882278986127380,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,0,01/28/2025 11:11,,IG story,,Lifetime,302,282,2,0,1.0,0,,316,
18073007137668063,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,@arkansastech,0,01/27/2025 15:26,,IG story,,Lifetime,226,212,4,0,4.0,0,,228,
18291578068210624,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,15,01/27/2025 11:36,,IG story,,Lifetime,220,201,2,0,,0,,198,
17953962821874114,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,15,01/24/2025 12:10,,IG story,,Lifetime,155,146,1,0,,0,,165,
17888311512089528,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,Be a student for a day at ATU COBED!,15,01/23/2025 14:25,https://instagram.com/stories/atu_business/3552165146040201035,IG story,,Lifetime,203,182,2,0,,0,,195,
18013408982679309,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,0,01/21/2025 10:09,,IG story,,Lifetime,183,174,1,0,,0,,193,
18000469043563426,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,Valentine’s Day came early to Rothwell! Stop by the front windows to see our @arkansastechjerry window painting!,15,01/21/2025 10:08,,IG story,,Lifetime,185,175,1,0,1.0,1,,180,
18054568946072998,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,0,01/20/2025 07:05,,IG story,,Lifetime,240,233,8,0,,0,,250,
18059940295757853,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,15,01/16/2025 14:13,,IG story,,Lifetime,187,172,0,0,2.0,0,,173,
18115770211440508,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,15,01/15/2025 09:52,,IG story,,Lifetime,194,178,2,0,2.0,0,,202,
17924853575907870,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,7,01/15/2025 08:46,,IG story,,Lifetime,200,191,0,0,,0,5.0,150,
18108342712460709,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,5,01/14/2025 11:32,,IG story,,Lifetime,171,157,3,1,3.0,0,,190,
17933529842861016,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,0,01/14/2025 11:32,,IG story,,Lifetime,183,167,3,1,2.0,0,,177,
18142905142366764,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,0,01/11/2025 10:07,https://instagram.com/stories/atu_business/3543338071296439258,IG story,,Lifetime,233,222,1,0,,0,,279,
17889598584172177,17841402627774708,atu_business,ATU LeMoyne Smith School of Business,,0,01/11/2025 10:06,https://instagram.com/stories/atu_business/3543337546219963925,IG story,,Lifetime,243,232,4,0,,1,,258,
